distributor_id,outlet_id
distributor_24,outlet_code_1
distributor_24,outlet_code_2
distributor_24,outlet_code_3
distributor_3,outlet_code_4
distributor_21,outlet_code_5
distributor_2,outlet_code_6
distributor_1,outlet_code_7
distributor_7,outlet_code_8
distributor_2,outlet_code_9
distributor_4,outlet_code_10
distributor_25,outlet_code_11
distributor_25,outlet_code_12
distributor_25,outlet_code_13
distributor_25,outlet_code_14
distributor_14,outlet_code_15
distributor_11,outlet_code_16
distributor_16,outlet_code_17
distributor_10,outlet_code_18
distributor_19,outlet_code_19
distributor_10,outlet_code_20
distributor_9,outlet_code_21
distributor_19,outlet_code_22
distributor_20,outlet_code_23
distributor_8,outlet_code_24
distributor_22,outlet_code_25
distributor_7,outlet_code_26
distributor_21,outlet_code_27
distributor_7,outlet_code_28
distributor_7,outlet_code_29
distributor_14,outlet_code_30
distributor_16,outlet_code_31
distributor_14,outlet_code_32
distributor_16,outlet_code_33
distributor_11,outlet_code_34
distributor_14,outlet_code_35
distributor_16,outlet_code_36
distributor_11,outlet_code_37
distributor_3,outlet_code_38
distributor_8,outlet_code_39
distributor_24,outlet_code_40
distributor_3,outlet_code_41
distributor_12,outlet_code_42
distributor_9,outlet_code_43
distributor_9,outlet_code_44
distributor_12,outlet_code_45
distributor_12,outlet_code_46
distributor_3,outlet_code_47
distributor_24,outlet_code_48
distributor_10,outlet_code_49
distributor_24,outlet_code_50
distributor_24,outlet_code_51
distributor_3,outlet_code_52
distributor_22,outlet_code_53
distributor_25,outlet_code_54
distributor_16,outlet_code_55
distributor_16,outlet_code_56
distributor_4,outlet_code_57
distributor_5,outlet_code_58
distributor_12,outlet_code_59
distributor_20,outlet_code_60
distributor_19,outlet_code_61
distributor_10,outlet_code_62
distributor_3,outlet_code_63
distributor_3,outlet_code_64
distributor_5,outlet_code_65
distributor_13,outlet_code_66
distributor_2,outlet_code_67
distributor_18,outlet_code_68
distributor_7,outlet_code_69
distributor_4,outlet_code_70
distributor_14,outlet_code_71
distributor_16,outlet_code_72
distributor_16,outlet_code_73
distributor_4,outlet_code_74
distributor_11,outlet_code_75
distributor_11,outlet_code_76
distributor_25,outlet_code_77
distributor_19,outlet_code_78
distributor_13,outlet_code_79
distributor_3,outlet_code_80
distributor_23,outlet_code_81
distributor_24,outlet_code_82
distributor_8,outlet_code_83
distributor_24,outlet_code_84
distributor_19,outlet_code_85
distributor_9,outlet_code_86
distributor_20,outlet_code_87
distributor_5,outlet_code_88
distributor_3,outlet_code_89
distributor_8,outlet_code_90
distributor_23,outlet_code_91
distributor_8,outlet_code_92
distributor_9,outlet_code_93
distributor_17,outlet_code_94
distributor_21,outlet_code_95
distributor_17,outlet_code_96
distributor_11,outlet_code_97
distributor_25,outlet_code_98
distributor_11,outlet_code_99
distributor_25,outlet_code_100
distributor_16,outlet_code_101
distributor_16,outlet_code_102
distributor_15,outlet_code_103
distributor_3,outlet_code_104
distributor_10,outlet_code_105
distributor_20,outlet_code_106
distributor_12,outlet_code_107
distributor_20,outlet_code_108
distributor_24,outlet_code_109
distributor_24,outlet_code_110
distributor_12,outlet_code_111
distributor_17,outlet_code_112
distributor_7,outlet_code_113
distributor_18,outlet_code_114
distributor_6,outlet_code_115
distributor_14,outlet_code_116
distributor_25,outlet_code_117
distributor_4,outlet_code_118
distributor_25,outlet_code_119
distributor_4,outlet_code_120
distributor_4,outlet_code_121
distributor_25,outlet_code_122
distributor_16,outlet_code_123
distributor_14,outlet_code_124
distributor_25,outlet_code_125
distributor_14,outlet_code_126
distributor_4,outlet_code_127
distributor_14,outlet_code_128
distributor_15,outlet_code_129
distributor_20,outlet_code_130
distributor_20,outlet_code_131
distributor_8,outlet_code_132
distributor_9,outlet_code_133
distributor_13,outlet_code_134
distributor_5,outlet_code_135
distributor_20,outlet_code_136
distributor_23,outlet_code_137
distributor_10,outlet_code_138
distributor_21,outlet_code_139
distributor_7,outlet_code_140
distributor_7,outlet_code_141
distributor_22,outlet_code_142
distributor_2,outlet_code_143
distributor_21,outlet_code_144
distributor_6,outlet_code_145
distributor_4,outlet_code_146
distributor_25,outlet_code_147
distributor_11,outlet_code_148
distributor_11,outlet_code_149
distributor_11,outlet_code_150
distributor_4,outlet_code_151
distributor_4,outlet_code_152
distributor_25,outlet_code_153
distributor_14,outlet_code_154
distributor_11,outlet_code_155
distributor_19,outlet_code_156
distributor_12,outlet_code_157
distributor_9,outlet_code_158
distributor_8,outlet_code_159
distributor_9,outlet_code_160
distributor_23,outlet_code_161
distributor_23,outlet_code_162
distributor_19,outlet_code_163
distributor_15,outlet_code_164
distributor_19,outlet_code_165
distributor_23,outlet_code_166
distributor_20,outlet_code_167
distributor_3,outlet_code_168
distributor_19,outlet_code_169
distributor_2,outlet_code_170
distributor_17,outlet_code_171
distributor_25,outlet_code_172
distributor_11,outlet_code_173
distributor_4,outlet_code_174
distributor_4,outlet_code_175
distributor_9,outlet_code_176
distributor_10,outlet_code_177
distributor_19,outlet_code_178
distributor_13,outlet_code_179
distributor_5,outlet_code_180
distributor_15,outlet_code_181
distributor_20,outlet_code_182
distributor_2,outlet_code_183
distributor_1,outlet_code_184
distributor_21,outlet_code_185
distributor_2,outlet_code_186
distributor_1,outlet_code_187
distributor_22,outlet_code_188
distributor_1,outlet_code_189
distributor_14,outlet_code_190
distributor_25,outlet_code_191
distributor_11,outlet_code_192
distributor_14,outlet_code_193
distributor_16,outlet_code_194
distributor_5,outlet_code_195
