outlet_id,region,outlet_size,population_density,number_of_skus_sold,average_household_income
outlet_code_1,outstation,1334,276,16,81704
outlet_code_2,outstation,1336,276,16,81789
outlet_code_3,outstation,1341,277,16,82046
outlet_code_4,outstation,1025,239,13,66259
outlet_code_5,upcountry,3965,646,35,59469
outlet_code_6,upcountry,1241,404,21,46219
outlet_code_7,upcountry,1457,426,25,52721
outlet_code_8,upcountry,1081,388,18,41432
outlet_code_9,upcountry,1275,408,22,47257
outlet_code_10,western,3025,3851,41,126264
outlet_code_11,western,2557,2914,31,102862
outlet_code_12,western,251,1568,28,100598
outlet_code_13,western,277,1955,32,113501
outlet_code_14,western,966,1732,29,101614
outlet_code_15,western,722,1244,21,77191
outlet_code_16,western,1429,2658,46,147882
outlet_code_17,western,1665,3130,54,171500
outlet_code_18,outstation,3764,388,19,94095
outlet_code_19,outstation,284,121,14,71087
outlet_code_20,outstation,379,145,19,94850
outlet_code_21,outstation,245,111,12,61256
outlet_code_22,outstation,1184,258,15,74214
outlet_code_23,outstation,1400,284,17,85022
outlet_code_24,outstation,1487,294,18,89364
outlet_code_25,upcountry,335,435,20,50245
outlet_code_26,upcountry,287,387,17,43123
outlet_code_27,upcountry,1590,439,28,56695
outlet_code_28,upcountry,1111,391,18,42316
outlet_code_29,upcountry,1179,398,20,44359
outlet_code_30,western,2065,1931,21,78274
outlet_code_31,western,3819,5438,56,165961
outlet_code_32,western,237,1362,26,93722
outlet_code_33,western,392,3675,49,170818
outlet_code_34,western,1465,2729,47,151460
outlet_code_35,western,821,1443,24,87146
outlet_code_36,western,1526,2851,49,157563
outlet_code_37,western,1406,2611,45,145550
outlet_code_38,outstation,2544,327,13,63592
outlet_code_39,outstation,3553,378,18,88830
outlet_code_40,outstation,3167,358,16,79179
outlet_code_41,outstation,2635,332,13,65869
outlet_code_42,outstation,281,120,14,70200
outlet_code_43,outstation,246,112,12,61599
outlet_code_44,outstation,241,110,12,60271
outlet_code_45,outstation,274,118,14,68439
outlet_code_46,outstation,267,117,13,66771
outlet_code_47,outstation,252,113,13,63050
outlet_code_48,outstation,1303,272,16,80169
outlet_code_49,outstation,1609,309,19,95455
outlet_code_50,outstation,1285,270,16,79266
outlet_code_51,outstation,1322,275,16,81085
outlet_code_52,outstation,1028,239,13,66409
outlet_code_53,upcountry,340,440,21,51051
outlet_code_54,western,2763,3325,35,113125
outlet_code_55,western,1636,3071,53,168566
outlet_code_56,western,1535,2870,49,158523
outlet_code_57,western,1209,2219,38,125926
outlet_code_58,outstation,203,101,10,50708
outlet_code_59,outstation,1103,248,14,70146
outlet_code_60,outstation,1420,286,17,85988
outlet_code_61,outstation,1196,259,15,74777
outlet_code_62,outstation,1599,308,19,94967
outlet_code_63,outstation,964,232,13,63187
outlet_code_64,outstation,976,233,13,63821
outlet_code_65,outstation,708,201,10,50392
outlet_code_66,outstation,1674,317,20,98675
outlet_code_67,upcountry,3053,555,23,45796
outlet_code_68,upcountry,708,351,10,30240
outlet_code_69,upcountry,1146,395,19,43390
outlet_code_70,western,2869,3539,37,118474
outlet_code_71,western,2195,2191,24,84773
outlet_code_72,western,361,3222,44,155748
outlet_code_73,western,375,3431,46,162712
outlet_code_74,western,317,2559,38,133627
outlet_code_75,western,1375,2550,44,142502
outlet_code_76,western,1425,2650,45,147519
outlet_code_77,western,906,1611,27,95553
outlet_code_78,outstation,2870,344,14,71756
outlet_code_79,outstation,3999,400,20,99968
outlet_code_80,outstation,2586,329,13,64650
outlet_code_81,outstation,224,106,11,55912
outlet_code_82,outstation,329,132,16,82308
outlet_code_83,outstation,1525,299,18,91255
outlet_code_84,outstation,1312,273,16,80617
outlet_code_85,outstation,1154,255,15,72716
outlet_code_86,outstation,928,227,12,61393
outlet_code_87,outstation,1420,286,17,85975
outlet_code_88,outstation,730,204,10,51486
outlet_code_89,outstation,1001,236,13,65034
outlet_code_90,outstation,1450,290,18,87506
outlet_code_91,outstation,790,211,11,54487
outlet_code_92,outstation,1502,296,18,90075
outlet_code_93,outstation,933,228,12,61655
outlet_code_94,upcountry,266,366,15,39966
outlet_code_95,upcountry,1631,443,29,57925
outlet_code_96,upcountry,1005,381,16,39165
outlet_code_97,western,3582,4964,52,154105
outlet_code_98,western,2753,3307,35,112672
outlet_code_99,western,345,2980,42,147669
outlet_code_100,western,910,1619,27,95961
outlet_code_101,western,1560,2919,50,160955
outlet_code_102,western,1573,2946,51,162314
outlet_code_103,outstation,3117,356,16,77926
outlet_code_104,outstation,251,113,13,62850
outlet_code_105,outstation,379,145,19,94728
outlet_code_106,outstation,1441,289,17,87037
outlet_code_107,outstation,1095,247,14,69759
outlet_code_108,outstation,1445,289,17,87271
outlet_code_109,outstation,1337,276,16,81864
outlet_code_110,outstation,1288,271,16,79391
outlet_code_111,outstation,1099,248,14,69926
outlet_code_112,upcountry,1048,385,17,40443
outlet_code_113,upcountry,1128,393,19,42834
outlet_code_114,upcountry,722,352,10,30654
outlet_code_115,upcountry,864,366,13,34912
outlet_code_116,western,2196,2192,24,84790
outlet_code_117,western,2681,3162,34,109054
outlet_code_118,western,3066,3933,41,128320
outlet_code_119,western,250,1549,27,99982
outlet_code_120,western,302,2324,35,125795
outlet_code_121,western,289,2135,33,119500
outlet_code_122,western,247,1501,27,98368
outlet_code_123,western,365,3276,45,157522
outlet_code_124,western,880,1561,26,93045
outlet_code_125,western,1073,1945,33,112270
outlet_code_126,western,801,1401,24,85052
outlet_code_127,western,1295,2390,41,134477
outlet_code_128,western,792,1383,23,84170
outlet_code_129,outstation,3114,356,16,77853
outlet_code_130,outstation,339,135,17,84771
outlet_code_131,outstation,348,137,17,87105
outlet_code_132,outstation,363,141,18,90843
outlet_code_133,outstation,248,112,12,61883
outlet_code_134,outstation,1658,315,20,97912
outlet_code_135,outstation,775,209,11,53774
outlet_code_136,outstation,1391,283,17,84538
outlet_code_137,outstation,784,210,11,54220
outlet_code_138,outstation,1606,309,19,95307
outlet_code_139,upcountry,393,493,24,58977
outlet_code_140,upcountry,293,393,17,43927
outlet_code_141,upcountry,1088,389,18,41646
outlet_code_142,upcountry,1444,424,25,52329
outlet_code_143,upcountry,1217,402,20,45514
