outlet_id,outlet_size,population_density,number_of_skus_sold,average_household_income,region_outstation,region_upcountry,region_western,number_of_skus_sold_range_0-25,number_of_skus_sold_range_25-50,number_of_skus_sold_range_50+
outlet_code_1,1334,276,16,81704,1,0,0,1,0,0
outlet_code_2,1336,276,16,81789,1,0,0,1,0,0
outlet_code_3,1341,277,16,82046,1,0,0,1,0,0
outlet_code_4,1025,239,13,66259,1,0,0,1,0,0
outlet_code_5,3965,646,35,59469,0,1,0,0,1,0
outlet_code_6,1241,404,21,46219,0,1,0,1,0,0
outlet_code_7,1457,426,25,52721,0,1,0,0,1,0
outlet_code_8,1081,388,18,41432,0,1,0,1,0,0
outlet_code_9,1275,408,22,47257,0,1,0,1,0,0
outlet_code_10,3025,3851,41,126264,0,0,1,0,1,0
outlet_code_11,2557,2914,31,102862,0,0,1,0,1,0
outlet_code_12,251,1568,28,100598,0,0,1,0,1,0
outlet_code_13,277,1955,32,113501,0,0,1,0,1,0
outlet_code_14,966,1732,29,101614,0,0,1,0,1,0
outlet_code_15,722,1244,21,77191,0,0,1,1,0,0
outlet_code_16,1429,2658,46,147882,0,0,1,0,1,0
outlet_code_17,1665,3130,54,171500,0,0,1,0,1,0
outlet_code_18,3764,388,19,94095,1,0,0,1,0,0
outlet_code_19,284,121,14,71087,1,0,0,1,0,0
outlet_code_20,379,145,19,94850,1,0,0,1,0,0
outlet_code_21,245,111,12,61256,1,0,0,1,0,0
outlet_code_22,1184,258,15,74214,1,0,0,1,0,0
outlet_code_23,1400,284,17,85022,1,0,0,1,0,0
outlet_code_24,1487,294,18,89364,1,0,0,1,0,0
outlet_code_25,335,435,20,50245,0,1,0,1,0,0
outlet_code_26,287,387,17,43123,0,1,0,1,0,0
outlet_code_27,1590,439,28,56695,0,1,0,0,1,0
outlet_code_28,1111,391,18,42316,0,1,0,1,0,0
outlet_code_29,1179,398,20,44359,0,1,0,1,0,0
outlet_code_30,2065,1931,21,78274,0,0,1,1,0,0
outlet_code_31,3819,5438,56,165961,0,0,1,0,1,0
outlet_code_32,237,1362,26,93722,0,0,1,0,1,0
outlet_code_33,392,3675,49,170818,0,0,1,0,1,0
outlet_code_34,1465,2729,47,151460,0,0,1,0,1,0
outlet_code_35,821,1443,24,87146,0,0,1,1,0,0
outlet_code_36,1526,2851,49,157563,0,0,1,0,1,0
outlet_code_37,1406,2611,45,145550,0,0,1,0,1,0
outlet_code_38,2544,327,13,63592,1,0,0,1,0,0
outlet_code_39,3553,378,18,88830,1,0,0,1,0,0
outlet_code_40,3167,358,16,79179,1,0,0,1,0,0
outlet_code_41,2635,332,13,65869,1,0,0,1,0,0
outlet_code_42,281,120,14,70200,1,0,0,1,0,0
outlet_code_43,246,112,12,61599,1,0,0,1,0,0
outlet_code_44,241,110,12,60271,1,0,0,1,0,0
outlet_code_45,274,118,14,68439,1,0,0,1,0,0
outlet_code_46,267,117,13,66771,1,0,0,1,0,0
outlet_code_47,252,113,13,63050,1,0,0,1,0,0
outlet_code_48,1303,272,16,80169,1,0,0,1,0,0
outlet_code_49,1609,309,19,95455,1,0,0,1,0,0
outlet_code_50,1285,270,16,79266,1,0,0,1,0,0
outlet_code_51,1322,275,16,81085,1,0,0,1,0,0
outlet_code_52,1028,239,13,66409,1,0,0,1,0,0
outlet_code_53,340,440,21,51051,0,1,0,1,0,0
outlet_code_54,2763,3325,35,113125,0,0,1,0,1,0
outlet_code_55,1636,3071,53,168566,0,0,1,0,1,0
outlet_code_56,1535,2870,49,158523,0,0,1,0,1,0
